Buổi,Cảm xúc,Độ tuổi,Số lượng người,Thời tiết,Phong cách ẩm thực,Loại hình quán ăn,Chế độ ăn,Đặc Biệt,Độ phổ biến,Loại đồ ăn,,,,,
Sáng,Bình thường,7,5,Hơi Nóng,miền nam,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,bestseller,đồ ăn vặt,,,,,
Chiều,Khó chịu,6,3,Hơi lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn thoải mái,có không gian ngoài trời,bestseller,Món Tráng miệng,,,,,
Chiều,Khó chịu,31,4,Quá Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,hot trend,Món lạnh,,,,,
Sáng,Vui,28,1,Lạnh,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,hot trend,Món cho trẻ em,,,,,
Trưa,Vui,30,5,Lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có phòng hút thuốc,đặc sản,Món nước,,,,,
Chiều,Vui,38,1,Lạnh,Việt nam,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,bestseller,Món Tráng miệng,,,,,
Đêm,Bình thường,13,3,Hơi lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,bình thường,Món nước,,,,,
Đêm,Buồn,9,5,Lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,bình thường,Món cho trẻ em,,,,,
Sáng,Buồn,10,3,Hơi Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,hot trend,Món nước,,,,,
Đêm,Bình thường,24,2,Hơi Nóng,miền nam,Quán Vỉa Hè,ăn kiêng,có không gian ngoài trời,hot trend,Món cho trẻ em,,,,,
Trưa,Khó chịu,37,1,Hơi Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng trông trẻ,đặc sản,đồ ăn vặt,,,,,
Chiều,Buồn,35,5,Lạnh,hàn quốc,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,đặc sản,Món nước,,,,,
Chiều,Khó chịu,16,3,Quá Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,bestseller,Món nước,,,,,
Tối,Buồn,5,3,Qúa lạnh,Việt nam,Quán Vỉa Hè,ăn chay,có phòng hút thuốc,bình thường,Món nước,,,,,
Sáng,Buồn,29,5,Quá Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,bình thường,Món nước,,,,,
Tối,Buồn,21,3,Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,bestseller,Món nước,,,,,
Tối,Khó chịu,21,3,Nóng,miền nam,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,đặc sản,đồ ăn vặt,,,,,
Trưa,Vui,31,3,Lạnh,Trung quốc,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bestseller,đồ ăn vặt,,,,,
Sáng,Khó chịu,38,1,Hơi Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,bình thường,Món nước,,,,,
Đêm,Vui,25,2,Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,có phòng hút thuốc,bình thường,Món lạnh,,,,,
Trưa,Bình thường,13,2,Hơi lạnh,Việt nam,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,đặc sản,đồ ăn vặt,,,,,
Chiều,Buồn,22,4,Qúa lạnh,hàn quốc,Nhà hàng bình dân,ăn thoải mái,có phòng trông trẻ,hot trend,Món Tráng miệng,,,,,
Trưa,Khó chịu,40,4,Hơi Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,bestseller,Món cho trẻ em,,,,,
Trưa,Bình thường,21,3,Mát,hàn quốc,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,hot trend,Món lạnh,,,,,
Trưa,Khó chịu,9,3,Mát,miền nam,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,bestseller,Món Tráng miệng,,,,,
Sáng,Khó chịu,30,1,Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,bestseller,Món lạnh,,,,,
Tối,Buồn,37,1,Qúa lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có phòng hút thuốc,đặc sản,Món Tráng miệng,,,,,
Chiều,Buồn,18,4,Nóng,Trung quốc,Quán Vỉa Hè,ăn chay,wifi miễn phí,đặc sản,Món nước,,,,,
Trưa,Bình thường,8,5,Lạnh,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng trông trẻ,bình thường,Món cho trẻ em,,,,,
Sáng,Buồn,8,4,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,đặc sản,đồ ăn vặt,,,,,
Chiều,Buồn,13,5,Lạnh,Trung quốc,Nhà hàng bình dân,ăn kiêng,có chỗ đỗ xe,đặc sản,Món lạnh,,,,,
Sáng,Khó chịu,34,3,Lạnh,Việt nam,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,đặc sản,Món Tráng miệng,,,,,
Đêm,Khó chịu,31,2,Quá Nóng,hàn quốc,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,đặc sản,đồ ăn vặt,,,,,
Đêm,Buồn,27,5,Qúa lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,wifi miễn phí,hot trend,Món Tráng miệng,,,,,
Tối,Khó chịu,23,2,Qúa lạnh,hàn quốc,Quán Vỉa Hè,ăn kiêng,có không gian ngoài trời,bình thường,đồ ăn vặt,,,,,
Tối,Buồn,36,5,Mát,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,đặc sản,Món nước,,,,,
Chiều,Buồn,7,5,Quá Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có phòng hút thuốc,bình thường,Món lạnh,,,,,
Sáng,Buồn,29,2,Quá Nóng,hàn quốc,Nhà hàng bình dân,ăn chay,Có giao hàng free,bestseller,Món lạnh,,,,,
Sáng,Khó chịu,36,1,Qúa lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,hot trend,Món lạnh,,,,,
Tối,Buồn,13,5,Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,bình thường,đồ ăn vặt,,,,,
Sáng,Bình thường,36,4,Hơi Nóng,Trung quốc,Quán Vỉa Hè,ăn kiêng,có phòng hút thuốc,bình thường,Món cho trẻ em,,,,,
Chiều,Bình thường,40,2,Mát,miền nam,Nhà hàng bình dân,ăn chay,wifi miễn phí,bình thường,đồ ăn vặt,,,,,
Chiều,Bình thường,32,1,Lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,hot trend,Món cho trẻ em,,,,,
Trưa,Bình thường,15,1,Hơi Nóng,Việt nam,Nhà hàng bình dân,ăn kiêng,wifi miễn phí,hot trend,Món lạnh,,,,,
Chiều,Bình thường,5,2,Nóng,hàn quốc,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,đặc sản,đồ ăn vặt,,,,,
Chiều,Khó chịu,9,1,Quá Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món cho trẻ em,,,,,
Sáng,Buồn,33,5,Hơi Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,đặc sản,Món cho trẻ em,,,,,
Sáng,Bình thường,40,1,Quá Nóng,miền nam,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bestseller,Món nước,,,,,
Tối,Buồn,10,4,Hơi Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,bestseller,đồ ăn vặt,,,,,
Chiều,Vui,13,5,Quá Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,bestseller,đồ ăn vặt,,,,,
Chiều,Vui,31,3,Nóng,Trung quốc,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,hot trend,Món cho trẻ em,,,,,
Đêm,Buồn,11,4,Quá Nóng,Trung quốc,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,bình thường,Món cho trẻ em,,,,,
Sáng,Vui,20,1,Mát,Việt nam,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,bình thường,Món lạnh,,,,,
Sáng,Vui,22,5,Hơi lạnh,Việt nam,Quán Vỉa Hè,ăn chay,Có giao hàng free,hot trend,Món nước,,,,,
Trưa,Bình thường,18,3,Hơi Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,đặc sản,Món Tráng miệng,,,,,
Chiều,Buồn,24,5,Hơi Nóng,miền nam,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,bình thường,Món nước,,,,,
Chiều,Khó chịu,18,1,Qúa lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,đặc sản,Món Tráng miệng,,,,,
Tối,Khó chịu,30,3,Lạnh,Trung quốc,Nhà hàng bình dân,ăn thoải mái,có không gian ngoài trời,hot trend,đồ ăn vặt,,,,,
Trưa,Bình thường,24,1,Quá Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,đặc sản,đồ ăn vặt,,,,,
Sáng,Vui,29,3,Nóng,Trung quốc,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,bestseller,Món Tráng miệng,,,,,
Chiều,Buồn,28,1,Qúa lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,Đang giảm giá,bestseller,Món lạnh,,,,,
Tối,Vui,28,3,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn kiêng,Có giao hàng free,bình thường,Món Tráng miệng,,,,,
Sáng,Buồn,23,2,Quá Nóng,Việt nam,Quán Vỉa Hè,ăn kiêng,Có giao hàng free,bình thường,Món Tráng miệng,,,,,
Sáng,Buồn,37,2,Mát,miền nam,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,bestseller,Món Tráng miệng,,,,,
Tối,Bình thường,15,5,Nóng,Trung quốc,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bình thường,Món cho trẻ em,,,,,
Sáng,Buồn,23,3,Quá Nóng,miền nam,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,đặc sản,Món Tráng miệng,,,,,
Đêm,Bình thường,20,4,Mát,Món cho trẻ em,Quán Vỉa Hè,ăn chay,wifi miễn phí,bình thường,Món Tráng miệng,,,,,
Tối,Bình thường,23,1,Quá Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,wifi miễn phí,đặc sản,Món nước,,,,,
Tối,Buồn,39,2,Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn chay,wifi miễn phí,bestseller,Món lạnh,,,,,
Trưa,Buồn,37,4,Hơi Nóng,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,đặc sản,đồ ăn vặt,,,,,
Chiều,Khó chịu,27,5,Lạnh,Trung quốc,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,bình thường,Món Tráng miệng,,,,,
Chiều,Bình thường,19,2,Hơi lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,Đang giảm giá,bình thường,Món lạnh,,,,,
Trưa,Vui,31,2,Qúa lạnh,miền nam,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,bình thường,Món nước,,,,,
Sáng,Khó chịu,18,4,Mát,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,Có giao hàng free,bestseller,Món nước,,,,,
Sáng,Buồn,15,3,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,đặc sản,Món Tráng miệng,,,,,
Trưa,Buồn,32,2,Mát,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,hot trend,Món Tráng miệng,,,,,
Trưa,Vui,31,5,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn thoải mái,có chỗ đỗ xe,bình thường,Món nước,,,,,
Tối,Buồn,14,1,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,Đang giảm giá,bình thường,đồ ăn vặt,,,,,
Chiều,Khó chịu,20,2,Qúa lạnh,miền nam,Quán Vỉa Hè,ăn kiêng,Có giao hàng free,đặc sản,Món nước,,,,,
Trưa,Buồn,5,4,Hơi Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,wifi miễn phí,bestseller,Món nước,,,,,
Trưa,Bình thường,9,1,Hơi Nóng,miền nam,Nhà hàng bình dân,ăn thoải mái,wifi miễn phí,bình thường,Món lạnh,,,,,
Tối,Buồn,31,1,Quá Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,bestseller,Món cho trẻ em,,,,,
Đêm,Vui,14,5,Hơi lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,hot trend,Món cho trẻ em,,,,,
Chiều,Buồn,27,5,Hơi Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,bình thường,Món lạnh,,,,,
Chiều,Khó chịu,14,5,Lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,bestseller,đồ ăn vặt,,,,,
Chiều,Khó chịu,10,3,Nóng,Việt nam,Nhà hàng bình dân,ăn thoải mái,Đang giảm giá,bình thường,Món nước,,,,,
Sáng,Vui,20,5,Qúa lạnh,hàn quốc,Quán Vỉa Hè,ăn chay,Đang giảm giá,bestseller,Món lạnh,,,,,
Đêm,Vui,23,3,Nóng,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,hot trend,đồ ăn vặt,,,,,
Chiều,Vui,29,5,Nóng,Trung quốc,Nhà hàng bình dân,ăn chay,wifi miễn phí,đặc sản,Món lạnh,,,,,
Chiều,Bình thường,23,5,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,wifi miễn phí,hot trend,Món cho trẻ em,,,,,
Sáng,Vui,13,1,Hơi lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,hot trend,Món Tráng miệng,,,,,
Trưa,Khó chịu,20,1,Hơi Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,đặc sản,Món lạnh,,,,,
Chiều,Vui,12,5,Hơi Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn thoải mái,có phòng trông trẻ,bình thường,Món nước,,,,,
Trưa,Bình thường,34,1,Hơi lạnh,miền nam,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,bestseller,Món nước,,,,,
Tối,Bình thường,17,3,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn thoải mái,có phòng hút thuốc,bình thường,Món lạnh,,,,,
Tối,Vui,33,2,Nóng,Trung quốc,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,bình thường,Món Tráng miệng,,,,,
Tối,Buồn,40,4,Lạnh,miền nam,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,hot trend,Món cho trẻ em,,,,,
Sáng,Bình thường,6,3,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,bestseller,đồ ăn vặt,,,,,
Đêm,Vui,6,4,Qúa lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,Có giao hàng free,bình thường,Món lạnh,,,,,
Tối,Buồn,39,3,Hơi Nóng,hàn quốc,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,bestseller,Món nước,,,,,
Đêm,Vui,18,2,Hơi Nóng,miền nam,Quán Vỉa Hè,ăn kiêng,có không gian ngoài trời,bình thường,Món nước,,,,,
Sáng,Bình thường,23,3,Hơi lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,bình thường,Món Tráng miệng,,,,,
Đêm,Vui,22,3,Lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,Đang giảm giá,bình thường,Món cho trẻ em,,,,,
Chiều,Buồn,27,4,Nóng,miền nam,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món lạnh,,,,,
Chiều,Vui,21,1,Quá Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,bình thường,Món cho trẻ em,,,,,
Trưa,Vui,8,2,Qúa lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,bình thường,Món nước,,,,,
Trưa,Bình thường,20,2,Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,có chỗ đỗ xe,hot trend,đồ ăn vặt,,,,,
Sáng,Buồn,6,4,Quá Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,đặc sản,Món Tráng miệng,,,,,
Chiều,Khó chịu,26,3,Lạnh,hàn quốc,Nhà hàng bình dân,ăn chay,Có giao hàng free,hot trend,Món nước,,,,,
Đêm,Khó chịu,34,2,Hơi Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,đặc sản,đồ ăn vặt,,,,,
Sáng,Buồn,21,4,Mát,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,Đang giảm giá,đặc sản,đồ ăn vặt,,,,,
Chiều,Bình thường,21,5,Hơi Nóng,Trung quốc,Quán Vỉa Hè,ăn kiêng,có không gian ngoài trời,bình thường,Món cho trẻ em,,,,,
Sáng,Buồn,6,4,Quá Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,bình thường,đồ ăn vặt,,,,,
Trưa,Khó chịu,16,2,Qúa lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn thoải mái,có phòng trông trẻ,đặc sản,Món nước,,,,,
Sáng,Khó chịu,16,5,Hơi lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,bình thường,Món lạnh,,,,,
Tối,Khó chịu,33,3,Mát,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,Đang giảm giá,đặc sản,Món cho trẻ em,,,,,
Sáng,Buồn,18,2,Nóng,Việt nam,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,bình thường,Món Tráng miệng,,,,,
Chiều,Khó chịu,26,2,Nóng,hàn quốc,Quán Vỉa Hè,ăn chay,Có giao hàng free,bình thường,Món Tráng miệng,,,,,
Sáng,Vui,19,4,Mát,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,đặc sản,Món cho trẻ em,,,,,
Đêm,Bình thường,12,1,Mát,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,hot trend,Món cho trẻ em,,,,,
Trưa,Buồn,34,4,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,bestseller,Món Tráng miệng,,,,,
Tối,Khó chịu,24,4,Hơi lạnh,Việt nam,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,bestseller,Món Tráng miệng,,,,,
Sáng,Bình thường,22,5,Qúa lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,đặc sản,Món cho trẻ em,,,,,
Tối,Khó chịu,5,3,Lạnh,Việt nam,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,bestseller,Món cho trẻ em,,,,,
Chiều,Vui,26,2,Hơi Nóng,hàn quốc,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,hot trend,Món Tráng miệng,,,,,
Sáng,Vui,6,5,Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,đặc sản,Món lạnh,,,,,
Đêm,Vui,35,3,Mát,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,đặc sản,Món Tráng miệng,,,,,
Trưa,Khó chịu,17,5,Qúa lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,bestseller,Món cho trẻ em,,,,,
Sáng,Khó chịu,31,1,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,bestseller,đồ ăn vặt,,,,,
Tối,Buồn,25,3,Qúa lạnh,miền nam,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,đặc sản,đồ ăn vặt,,,,,
Tối,Khó chịu,12,1,Hơi Nóng,hàn quốc,Quán Vỉa Hè,ăn chay,có phòng hút thuốc,đặc sản,Món cho trẻ em,,,,,
Sáng,Khó chịu,5,4,Mát,Trung quốc,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,bestseller,đồ ăn vặt,,,,,
Tối,Vui,29,4,Hơi Nóng,hàn quốc,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,đặc sản,đồ ăn vặt,,,,,
Trưa,Khó chịu,25,2,Hơi lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,hot trend,đồ ăn vặt,,,,,
Trưa,Vui,5,2,Quá Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,bình thường,Món nước,,,,,
Chiều,Vui,20,4,Hơi Nóng,hàn quốc,Nhà hàng bình dân,ăn chay,có không gian ngoài trời,đặc sản,đồ ăn vặt,,,,,
Sáng,Khó chịu,6,2,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,bình thường,Món nước,,,,,
Trưa,Khó chịu,12,1,Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,hot trend,Món Tráng miệng,,,,,
Sáng,Khó chịu,25,1,Hơi lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,bestseller,Món Tráng miệng,,,,,
Đêm,Khó chịu,9,3,Mát,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,bình thường,đồ ăn vặt,,,,,
Tối,Bình thường,39,4,Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng trông trẻ,hot trend,Món cho trẻ em,,,,,
Sáng,Bình thường,34,3,Mát,Việt nam,Quán Vỉa Hè,ăn thoải mái,có phòng hút thuốc,bestseller,Món cho trẻ em,,,,,
Trưa,Vui,18,4,Nóng,hàn quốc,Nhà hàng bình dân,ăn chay,Đang giảm giá,bestseller,Món cho trẻ em,,,,,
Chiều,Vui,6,2,Hơi lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,có phòng hút thuốc,bình thường,Món cho trẻ em,,,,,
Trưa,Buồn,37,3,Mát,Trung quốc,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,đặc sản,Món cho trẻ em,,,,,
Chiều,Vui,13,2,Qúa lạnh,miền nam,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,hot trend,Món cho trẻ em,,,,,
Đêm,Vui,9,3,Lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,đặc sản,đồ ăn vặt,,,,,
Chiều,Khó chịu,6,4,Lạnh,hàn quốc,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,hot trend,Món nước,,,,,
Chiều,Buồn,26,4,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn chay,wifi miễn phí,đặc sản,Món cho trẻ em,,,,,
Trưa,Khó chịu,19,5,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,có phòng hút thuốc,hot trend,đồ ăn vặt,,,,,
Tối,Vui,19,5,Hơi Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,bình thường,Món Tráng miệng,,,,,
Đêm,Vui,28,1,Lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,có chỗ đỗ xe,bình thường,đồ ăn vặt,,,,,
Đêm,Khó chịu,7,2,Lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,có phòng trông trẻ,bestseller,Món nước,,,,,
Chiều,Khó chịu,34,5,Lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,bình thường,Món lạnh,,,,,
Chiều,Bình thường,21,2,Qúa lạnh,hàn quốc,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,bestseller,Món nước,,,,,
Đêm,Bình thường,6,1,Qúa lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn chay,wifi miễn phí,hot trend,Món lạnh,,,,,
Đêm,Vui,32,3,Mát,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,đặc sản,Món cho trẻ em,,,,,
Trưa,Bình thường,19,5,Hơi lạnh,miền nam,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,đặc sản,Món cho trẻ em,,,,,
Tối,Vui,25,2,Mát,Việt nam,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,bestseller,Món cho trẻ em,,,,,
Tối,Khó chịu,27,1,Mát,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,bestseller,Món nước,,,,,
Đêm,Vui,28,2,Qúa lạnh,hàn quốc,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,hot trend,Món nước,,,,,
Sáng,Buồn,34,5,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,bestseller,Món lạnh,,,,,
Trưa,Bình thường,39,5,Quá Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,bình thường,Món nước,,,,,
Chiều,Buồn,32,5,Lạnh,Trung quốc,Quán Vỉa Hè,ăn chay,Đang giảm giá,bestseller,Món cho trẻ em,,,,,
Chiều,Buồn,22,2,Mát,miền nam,Nhà hàng bình dân,ăn chay,có chỗ đỗ xe,bestseller,Món nước,,,,,
Tối,Buồn,40,2,Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,bestseller,Món cho trẻ em,,,,,
Đêm,Khó chịu,29,1,Qúa lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,đặc sản,Món lạnh,,,,,
Tối,Bình thường,36,1,Quá Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,đặc sản,Món nước,,,,,
Chiều,Vui,8,2,Hơi Nóng,Việt nam,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bestseller,Món cho trẻ em,,,,,
Chiều,Buồn,25,1,Nóng,Trung quốc,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,đặc sản,Món cho trẻ em,,,,,
Trưa,Buồn,14,1,Qúa lạnh,Việt nam,Nhà hàng bình dân,ăn chay,Có giao hàng free,hot trend,đồ ăn vặt,,,,,
Chiều,Khó chịu,34,2,Qúa lạnh,miền nam,Nhà hàng bình dân,ăn chay,Có giao hàng free,hot trend,Món cho trẻ em,,,,,
Tối,Vui,7,3,Lạnh,miền nam,Nhà hàng bình dân,ăn chay,có chỗ đỗ xe,hot trend,Món lạnh,,,,,
Sáng,Khó chịu,7,5,Lạnh,Trung quốc,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,hot trend,Món cho trẻ em,,,,,
Đêm,Vui,38,1,Hơi Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,đặc sản,đồ ăn vặt,,,,,
Đêm,Vui,14,1,Nóng,Trung quốc,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,đặc sản,đồ ăn vặt,,,,,
